id,title,query,s2_id,duplicated
18231321944521159331,A brief review of magnetic anomaly detection,anomaly+review,NA,
18418379730610047095,A comprehensive review on deep learning-based methods for video anomaly detection,anomaly+review,NA,
6467652050048925755,A comprehensive survey of anomaly detection algorithms,anomaly+survey,NA,
14455077719625622269,A comprehensive survey of anomaly detection techniques for high dimensional big data,anomaly+review,aca6d5f3866372a4506cf15773ae298f18c3f453,
210487086558145174,A comprehensive survey of numeric and symbolic outlier mining techniques,outlier+review,31f5fa100bb9acae50d44003340a4419637c3e55,
5640775539800892593,A comprehensive survey on graph anomaly detection with deep learning,anomaly+review,35067cc8153b7e6270797fffaefc5c9cefdfe515,
17539739784278896405,A comprehensive survey on network anomaly detection,anomaly+review,f38a103da4bfc281a811b03099e1c39751722a8c,
17123585553392885465,A critical literature survey and prospects on tampering and anomaly detection in image data,anomaly+survey,NA,
13412125824503836968,A critical overview of outlier detection methods,outlier+review,NA,
11682253454495045953,A deep learning framework to early identify emerging technologies in large-scale outlier patents: an empirical study of CNC machine tool,outlier+review,NA,
1405727943481808187,A five step procedure for outlier analysis in data mining,outlier+review,NA,
3499913356685463147,A holistic review of network anomaly detection systems: A comprehensive survey,anomaly+review,8a45159d31b1733b43d6de734109c3f7c08f83b9,
866583624957692612,A methodological overview on anomaly detection,anomaly+review,NA,
5313019246199584612,A note on detecting statistical outliers in psychophysical data,outlier+review,NA,
2485353769472321268,A note on the use of outlier criteria in Ontario laboratory quality control schemes,outlier+review,NA,
6240852886196145910,A review and comparison of methods for detecting outliers in univariate data sets,outlier+review,NA,
9247923782792423899,A review of anomaly based intrusion detection systems,anomaly+review,9c21441e384c32bea9680648417e91884b7aaff4,
5940790786873489993,A review of anomaly detection in automated surveillance,anomaly+review,96f078dfce27a22e9fd5c4ae12a664c0e790bfac,
2515951473840507536,A review of anomaly detection techniques and applications in financial fraud,anomaly+review,NA,
14127356168744158577,A review of local outlier factor algorithms for outlier detection in big data streams,outlier+review,e449b9b3fe04fe260731a3c74d2123bf6eaadf5b,
2196404672610548858,A review of machine learning based anomaly detection techniques,anomaly+review,edac268e01575c2e44008c1aca04ecd0a80726a1,
6060325318518681946,A review of outlier prediction techniques in data mining,outlier+review,9405d078ac84a28c9fc3c851fc7cdc8ac80ec95d,
15762459163975851892,A review of SCADA anomaly detection systems,anomaly+review,de6d5632784f00d9fba7b3ae4e0c0ee880a4511a,
8566178537947380771,A review of statistical outlier methods,outlier+review,0469f92dbce67ec4444d094e818eeebaaed3d8d5,
11078250644925169170,A review of tree-based approaches for anomaly detection,anomaly+review,NA,
1597902505800476682,A review of various statistical methods for outlier detection,outlier+review,3b6e32110d161c3d6f42e4b2fc85da9c6c58533d,
4633078166567403629,A Review on Negative Road Anomaly Detection Methods,anomaly+review,NA,
8826535957880741022,A review on outlier detection techniques on data stream by using different approaches of K-Means algorithm,outlier+review,19f39cdfb273311e0cc1f57628fde9e8787b33b7,
15456767634218974696,A review on outlier/anomaly detection in time series data,outlier+review,429173b6033ce240e0b5930379417f703d0e38fe,
17973964467895315693,A survey of anomaly detection in industrial wireless sensor networks with critical water system infrastructure as a case study,anomaly+survey,62f43b69f719842a9b6871b8fb3ad2f8bb38d169,
13454748010419248917,A survey of anomaly detection methods in networks,anomaly+survey,,
16176558278332997675,A survey of anomaly detection techniques in financial domain,anomaly+survey,5b55d69c4b5f9a371f04944453283ed36ddb90ce,
9106996279436768745,A survey of data mining and social network analysis based anomaly detection techniques,anomaly+survey,d885782689d2530ef79d8d4b7575147893eb36a2,
2009558212374234535,A survey of deep learning-based network anomaly detection,anomaly+survey,1605d856f4502c2ddd234b8c61bbbe1fc22af3ef,
14360846323367457373,A survey of distance and similarity measures used within network intrusion anomaly detection,anomaly+survey,2925a374d23127cc58027b4437a3f1dea8f02844,
496723865740701577,A survey of machine learning methods applied to anomaly detection on drinking-water quality data,anomaly+survey,e0a37b2a682995a0c5f2d6927d5296d8e9c4684c,
9031285360332520732,A survey of network anomaly detection techniques,anomaly+review,2eb2320ff1e1a109d9c8bf0d53b3edc370d4cea6,
7673946901528599193,A survey of network anomaly visualization,anomaly+review,451dc5c6d2ef3eb6788403fe0ca7685ae89209bc,
15648331434899089611,A survey of outlier detection algorithms for data streams,outlier+survey,1cb7d8ede56d077eb5dcbc25bbe1d95999341060,
14452029072770746486,A survey of outlier detection in high dimensional data streams,outlier+review,e6d97dbd38393b0c3bce95fde0545f5866be7826,
1813151427234805397,A survey of outlier detection methodologies,outlier+review,fbf26e1085ac3b038f47d4d1945ebda45d5e57fb,
4892500169130221652,A survey of outlier detection methodologies and their applications,outlier+survey,8daf1666b24552876330810a4602f8f3743de90b,
1431612754104698250,A survey of outlier detection methods in network anomaly identification,outlier+survey,b83a6c77e61a38ada308992cc579c8cd49ee16f4,
14692785047267228388,A survey of outlier detection techniques in IoT: review and classification,outlier+review,372bcdd6e136ae08cea955e6c9c3ed716a98326c,
14758526282479627786,A survey of research on anomaly detection for time series,anomaly+survey,16e5150bcb2f516c4482b11bfbe579ac928d5978,
8828711174476526635,A survey of single-scene video anomaly detection,anomaly+review,02d0ef096d3b39bb83a344393522360aaf69d694,
8263274720257032608,A survey on anomaly based host intrusion detection system,anomaly+survey,6d7b1e32a3c8bb8cf4f51f4c0561146c437bc766,
13672991244157122447,A survey on anomaly based intrusion detection system,anomaly+survey,fcb4631cead2219da5eb74b19966146509869864,
1172599405174416728,A survey on anomaly detection for technical systems using LSTM networks,anomaly+review,84a7897cf8542b097d7ceff6e9daa6d97b4ad952,
13075903367544403689,A survey on gans for anomaly detection,anomaly+survey,0bdd74925d662a78efdf130d953dff97a131d12a,
7624758741472653805,A survey on log anomaly detection using deep learning,anomaly+survey,6555b55e0c7c57f01323bad931d21646b2588a25,
931319268019178992,A survey on machine learning and outlier detection techniques,outlier+survey,7f5a2a9daa38c38dd3768cb3686062ee3addf91e,
3801958955951520593,A survey on outlier detection in financial transactions,outlier+survey,6cd9214579b20a2a709554321e9c6cfacf0b0a54,
5679567855164274190,A survey on outlier detection in the context of stream mining: review of existing approaches and recommadations,outlier+review,e4f6442951c51c2ff2541e0252d7110fbd1591be,
6637545013878501925,A survey on outlier detection methods,outlier+survey,759d21394435103ca62d23955f9bb99edda5e878,
6772685838937794422,A survey on outlier detection techniques for credit card fraud detection,outlier+survey,863e77593b9c3abed4d83348e2dc898a0bd9e850,
9819441409454586346,A survey on outlier explanations,outlier+survey,096134e08d39c17b13344e773a78a2649206f22a,
3478750403925878250,A survey on social media anomaly detection,anomaly+survey,2212e42e73bcc61e861428f32bf1180e81f3d049,
6869675435955578337,A survey on unsupervised outlier detection in high‐dimensional numerical data,outlier+review,b65fc8f5e7329f0476bc7280f0ef6b91a8c8484b,
2903897425567432622,A survey: outlier detection in streaming data using clustering approached,outlier+survey,65c9115da58f58001d7ebbdb5b974424b1c21a5d,
16748143692167041414,A systematic literature review on outlier detection in wireless sensor networks,outlier+review,6a152e021b84cf5768812a16c4bbf388702deadb,
14743957039789219611,A tutorial overview of anomaly detection in hyperspectral images,anomaly+review,NA,
535744563039386055,A unifying review of deep and shallow anomaly detection,anomaly+review,30b99ae0682d42a2010be401dd1d8f7baca9bb5f,
13589025543753957722,Acalvaria: a unique congenital anomaly,anomaly+review,NA,
17339740402089243898,Acardiac anomaly: current issues in prenatal assessment and treatment,anomaly+review,NA,
9052804679336664808,Accommodating outliers and nonlinearity in decision models,outlier+review,NA,
3168250136974544343,Activity and anomaly detection in smart home: A survey,anomaly+review,8960a7bb22481405c6c8d8b25918a7fec4073833,
17779151440091117197,Advancements of data anomaly detection research in wireless sensor networks: a survey and open issues,anomaly+survey,5d1076238166aeea8ad53de5865eaa1cc2ec5617,
11375383904794621025,Advancements of outlier detection: A survey,outlier+review,0e20a8346ee9181ba7ee27e857bd7c09ba34f8ba,
4065184568677411033,Ambulatory blood pressure monitoring: a critical review of the current methods to handle outliers.,outlier+review,NA,
3116158678780402209,An approach to the analysis of SDSS spectroscopic outliers based on self-organizing maps-Designing the outlier analysis software package for the next Gaia survey,outlier+survey,NA,
18241104271016231839,An approach toward the problem of outliers in QSAR,outlier+review,NA,
13301180887127729579,An introduction to outlier analysis,outlier+survey,NA,
11182472290590160198,An overview and a benchmark of active learning for outlier detection with one-class classifiers,outlier+review,NA,
10626268666258468536,An overview of anomaly detection techniques: Existing solutions and latest technological trends,anomaly+review,NA,
10287143914546869834,An overview of deep learning based methods for unsupervised and semi-supervised anomaly detection in videos,anomaly+review,NA,
3326545204149971804,An overview on trajectory outlier detection,outlier+review,b1bd0408e31eac1ef2bf1942388cf41d60fc710b,
10155373150015614376,Anomaly detection by robust statistics,anomaly+review,NA,
4299534356199833882,Anomaly detection for discrete sequences: A survey,anomaly+survey,53df899e1a18082b8654677b4c0aa95dbd96f0e0,
12024281859181766627,Anomaly detection for IoT time-series data: A survey,anomaly+review,30d65fbc8d71ac202ee8d7d5f0e58c63a6c6a957,
6640537701070652933,Anomaly Detection in Autonomous Driving: A Survey,anomaly+survey,e6c013c835be471502023b3f31d52d59ada76770,
4484113181406897685,Anomaly detection in blockchain networks: A comprehensive survey,anomaly+review,3652d15fbfdc4002a25c0ea94e7a6e76b7f9d796,
16090374183096898742,Anomaly detection in computer networks: A state-of-the-art review.,anomaly+review,f2a944c139038253e5a637bba6df2a1cc8985490,
4168737270685308874,Anomaly detection in dynamic networks: a survey,anomaly+review,23f9220e0ca8f2cb522c36d158ca88f043007c68,
8361506767342359562,Anomaly detection in online social network: A survey,anomaly+survey,116ec0808e7c2a49f7f96c4efe2568f89ef26ef1,
7508689150525391328,Anomaly detection in road traffic using visual surveillance: A survey,anomaly+review,88573561d2e662f53201971fab6ecf6beceefe73,
4370422915042112938,Anomaly detection in univariate time-series: A survey on the state-of-the-art,anomaly+survey,cf45bce52cca1f6e450ddaa1d19fe6e30661dffb,
18214717940256118043,Anomaly detection in wireless sensor networks,anomaly+survey,NA,
12742933431864796554,Anomaly detection in wireless sensor networks in a non-stationary environment,anomaly+survey,NA,
2532259948808409695,Anomaly detection in wireless sensor networks: A survey,anomaly+review,bc36143f51eb1a23b28eabb30af040f9f00a36b7,
141569629754130225,Anomaly detection methods for categorical data: A review,anomaly+review,NA,
5064548159304104538,Anomaly detection methods in wired networks: a survey and taxonomy,anomaly+review,NA,
2546662221722829923,"Anomaly detection, analysis and prediction techniques in iot environment: A systematic literature review",anomaly+review,4faebdc6299470cb9018f5446c6e779d0f9da8c0,
556402703576663948,Anomaly detection: A survey,anomaly+review,71d1ac92ad36b62a04f32ed75a10ad3259a7218d,
14834786797091428813,"Artificial intelligence based anomaly detection of energy consumption in buildings: A review, current trends and new perspectives",anomaly+review,NA,
6202896055905503535,Attack and anomaly detection in iot networks using machine learning techniques: A review,anomaly+review,NA,
7726295656868352732,Axial anomaly: The modern status,anomaly+review,NA,
3944837213410723121,Benchmarking of machine learning for anomaly based intrusion detection systems in the CICIDS2017 dataset,anomaly+review,NA,
7112575683114429433,"Best-practice recommendations for defining, identifying, and handling outliers",outlier+review,NA,
2449138419628332103,BGP anomaly detection techniques: A survey,anomaly+review,a7c2aa19f50ca94890553a4e854c3917a37849a8,
17926642465601485506,Cellular metabolism and disease: what do metabolic outliers teach us?,outlier+review,NA,
12099493419425416240,Characteristics and classification of outlier detection techniques for wireless sensor networks in harsh environments: a survey,outlier+survey,0aeacd30cd26d5ec2c895d42ba6dd995b8c9458d,
14453679053943329022,Chiral anomaly and transport in Weyl metals,anomaly+review,NA,
