id,title,query,duplicated
332744ac484e91989497a2c1aa167ec73e3c60ef,3D Scanning: A Comprehensive Survey,outlier+survey,
fac17e17f32339618024ea03c3296e0ea4c6e92b,A brief review of equatorial ionization anomaly and ionospheric irregularities,anomaly+review,
c72c5d8db643d7a591b26f4acc91214a8e034102,A Case Study of Spectral Signature Detection in Multimodal and Outlier-Contaminated Scenes,outlier+review,
d9c3f835e32af19621db1f3737ef5e246a192400,A Comparative Study of Local Outlier Factor Algorithms for Outliers Detection in Data Streams,outlier+review,
aca6d5f3866372a4506cf15773ae298f18c3f453,A comprehensive survey of anomaly detection techniques for high dimensional big data,anomaly+survey,
31f5fa100bb9acae50d44003340a4419637c3e55,A comprehensive survey of numeric and symbolic outlier mining techniques,outlier+survey,
949ead3d3cdb3a59d1cbbc0aa1eadb109795bf59,A comprehensive survey of numeric and symbolic outlier mining techniques,outlier+survey,949ead3d3cdb3a59d1cbbc0aa1eadb109795bf59
5f69d451db9c67718bc42d315532e78d2e822f6d,A Comprehensive Survey on Anomaly-Based Intrusion Detection in MANET,anomaly+survey,
35067cc8153b7e6270797fffaefc5c9cefdfe515,A Comprehensive Survey on Graph Anomaly Detection with Deep Learning,anomaly+survey,
f38a103da4bfc281a811b03099e1c39751722a8c,A comprehensive survey on network anomaly detection,anomaly+review,
f38a103da4bfc281a811b03099e1c39751722a8c,A comprehensive survey on network anomaly detection,anomaly+survey,
66bb7a0bcb442135450b66399b7b35196f809a51,A Comprehensive Survey on Outlier Detection Methods,outlier+survey,
8379fb2e6cbdb51ea8d2d5265533aa0dd9c87dcd,A Critical Review on Outlier Detection Techniques,outlier+review,
8a45159d31b1733b43d6de734109c3f7c08f83b9,A holistic review of Network Anomaly Detection Systems: A comprehensive survey,anomaly+review,
8a45159d31b1733b43d6de734109c3f7c08f83b9,A holistic review of Network Anomaly Detection Systems: A comprehensive survey,anomaly+survey,
37b0a7a6c8fb26e32b9206847e78d521a2cd5900,A literature review on one-class classification and its potential applications in big data,outlier+review,
a77f9b11db2510183255e7de39ddc7ff563fa41d,A national estimate of the birth prevalence of congenital anomalies in India: systematic review and meta-analysis,anomaly+review,
1dbd3042fb75e250c27a5140c6e0ee37e62d4394,A Review and Analysis of Outlier Detection Algorithms,outlier+review,
0d8c6e64ed75fe08d1c4b7e61cf30c45c27d8d80,A REVIEW AND EMPIRICAL COMPARISON OF UNIVARIATE OUTLIER DETECTION METHODS,outlier+review,
9c21441e384c32bea9680648417e91884b7aaff4,A Review of Anomaly based Intrusion Detection Systems,anomaly+review,
