index,class,title,type,language,set,s2_id,gs_id,alternate_gs_id,alternate_s2_id,original_article
1,2,3D Scanning: A Comprehensive Survey,paper,English,S2,332744ac484e91989497a2c1aa167ec73e3c60ef,,,,
2,2,A brief review of equatorial ionization anomaly and ionospheric irregularities,paper,English,S2,fac17e17f32339618024ea03c3296e0ea4c6e92b,,,,
3,2,A brief review of magnetic anomaly detection,paper,English,GS,50bafd0318bec1746c22957743329c7be32261dc,18231321944521159331,,,
4,2,A Case Study of Spectral Signature Detection in Multimodal and Outlier-Contaminated Scenes,paper,English,S2,c72c5d8db643d7a591b26f4acc91214a8e034102,,,,
5,4,A Comparative Study of Local Outlier Factor Algorithms for Outliers Detection in Data Streams,paper,English,S2,d9c3f835e32af19621db1f3737ef5e246a192400,,,,
6,5,A comprehensive review on deep learning-based methods for video anomaly detection,paper,English,GS,a9b3a9dd494576f54c946aa030fe491eba239b7e,18418379730610047095,,,
7,6,A comprehensive survey of anomaly detection algorithms,paper,English,GS,299a4ccaa955d9f7872d9efc9eb2b04e233629c8,6467652050048925755,,,
8,6,A comprehensive survey of anomaly detection techniques for high dimensional big data,paper,English,Common,aca6d5f3866372a4506cf15773ae298f18c3f453,14455077719625622269,,,
9,6,A comprehensive survey of numeric and symbolic outlier mining techniques,paper,English,Common,31f5fa100bb9acae50d44003340a4419637c3e55,210487086558145174,,,
10,5,A Comprehensive Survey on Anomaly-Based Intrusion Detection in MANET,paper,English,S2,5f69d451db9c67718bc42d315532e78d2e822f6d,,,,
11,5,A Comprehensive Survey on Graph Anomaly Detection with Deep Learning,paper,English,Common,35067cc8153b7e6270797fffaefc5c9cefdfe515,5640775539800892593,,,
12,5,A comprehensive survey on network anomaly detection,paper,English,Common,f38a103da4bfc281a811b03099e1c39751722a8c,17539739784278896405,,,
13,6,A Comprehensive Survey on Outlier Detection Methods,paper,English,S2,66bb7a0bcb442135450b66399b7b35196f809a51,,,,
14,4,A critical literature survey and prospects on tampering and anomaly detection in image data,paper,English,GS,99c41acbb4f1240944a53f6135eb36c87f98ee90,17123585553392885465,,,
15,6,A critical overview of outlier detection methods,paper,English,GS,2d5394a438c669afd5ccec225e2e1c4f1e350351,13412125824503836968,,,
16,6,A Critical Review on Outlier Detection Techniques,paper,English,S2,8379fb2e6cbdb51ea8d2d5265533aa0dd9c87dcd,,,,
17,2,A deep learning framework to early identify emerging technologies in large-scale outlier patents: an empirical study of CNC machine tool,paper,English,GS,ec8275d24f105706a1e27cf0eabf810b27d39b18,11682253454495045953,,,
18,6,A five step procedure for outlier analysis in data mining,paper,English,GS,,1405727943481808187,,,
19,5,A holistic review of Network Anomaly Detection Systems: A comprehensive survey,paper,English,Common,8a45159d31b1733b43d6de734109c3f7c08f83b9,3499913356685463147,,,
20,5,A literature review on one-class classification and its potential applications in big data,paper,English,S2,37b0a7a6c8fb26e32b9206847e78d521a2cd5900,,,,
21,5,A methodological overview on anomaly detection,paper,English,GS,396e7ecece4691a26f0cd8fe35e61f2247d2d68d,866583624957692612,,,
22,2,A national estimate of the birth prevalence of congenital anomalies in India: systematic review and meta-analysis,paper,English,S2,a77f9b11db2510183255e7de39ddc7ff563fa41d,,,,
23,4,A note on detecting statistical outliers in psychophysical data,paper,English,GS,13331a0c7227d55aaf8524f6b26c3e572c5c9e9d,5313019246199584612,,,
24,4,A note on the use of outlier criteria in Ontario laboratory quality control schemes,paper,English,GS,57e58233bd1e509b6a01cfb4039a1cceee56f3ca,2485353769472321268,,,
25,1,A Review and Analysis of Outlier Detection Algorithms,paper,chinese,S2,1dbd3042fb75e250c27a5140c6e0ee37e62d4394,,,,
26,1,A review and comparison of methods for detecting outliers in univariate data sets,master thesis,English,GS,cb868f0b242b9623b7544a58b6a21647dfa138a5,6240852886196145910,,,
27,5,A REVIEW AND EMPIRICAL COMPARISON OF UNIVARIATE OUTLIER DETECTION METHODS,paper,English,S2,0d8c6e64ed75fe08d1c4b7e61cf30c45c27d8d80,,,,
28,5,A Review of Anomaly based Intrusion Detection Systems,paper,English,Common,9c21441e384c32bea9680648417e91884b7aaff4,9247923782792423899,,,
29,5,A Review of Anomaly Detection in Automated Surveillance,paper,English,Common,96f078dfce27a22e9fd5c4ae12a664c0e790bfac,5940790786873489993,,,
30,5,A Review of Anomaly Detection Systems in Cloud Networks and Survey of Cloud Security Measures in Cloud Storage Applications,paper,English,S2,da6379b5e0906fd70126776d686f87ccec1fac84,,,,
31,5,A review of anomaly detection techniques and applications in financial fraud,paper,English,GS,3b93d667154f289f2eeed9dd29ef6237357070d3,2515951473840507536,,,
32,5,A Review of Approaches for the Detection and Treatment of Outliers in Processing Wind Turbine and Wind Farm Measurements,paper,English,S2,e22f5ea4937ab1d9fc0f11b2e20b1d123ce743fa,,,,
33,2,A review of ENSO theories,paper,English,S2,d51533305207159542cb08f5e00fad41e6352b82,,,,
34,5,A Review of Local Outlier Factor Algorithms for Outlier Detection in Big Data Streams,paper,English,Common,e449b9b3fe04fe260731a3c74d2123bf6eaadf5b,14127356168744158577,,,
35,6,A Review of Machine Learning based Anomaly Detection Techniques,paper,English,Common,edac268e01575c2e44008c1aca04ecd0a80726a1,2196404672610548858,,,
36,6,A Review of Outlier Prediction Techniques in Data Mining,paper,English,Common,9405d078ac84a28c9fc3c851fc7cdc8ac80ec95d,6060325318518681946,,,
37,5,A Review of SCADA Anomaly Detection Systems,paper,English,Common,de6d5632784f00d9fba7b3ae4e0c0ee880a4511a,15762459163975851892,,,
38,5,A Review Of Some Robust Data Analysis And Multiple Outlier Detection Procedures,paper,English,S2,55a8500266681f6907b721c97dfa2d283e35b574,,,,
39,5,A review of statistical outlier methods,paper,English,Common,0469f92dbce67ec4444d094e818eeebaaed3d8d5,8566178537947380771,,,
40,5,A review of tree-based approaches for anomaly detection,paper,English,GS,a3a1795522de776abc9737b8620dcd8e15f37357,11078250644925169170,,,
41,5,A Review of various statestical methods for Outlier Detection,paper,English,Common,3b6e32110d161c3d6f42e4b2fc85da9c6c58533d,1597902505800476682,,,
42,6,A Review on Clustering and Outlier Analysis Techniques in Datamining,paper,English,S2,f8a269947f9ecb800d940ee11d86006be39ba4d9,,,,
43,2,A Review on Data Preprocessing Techniques Toward Efficient and Reliable Knowledge Discovery From Building Operational Data,paper,English,S2,b36a93134fdbcb74de18d222d17fec177d32d363,,,,
44,5,A Review on Negative Road Anomaly Detection Methods,paper,English,GS,4f567fdbd0c2a3521a5105536a0dbfa3053abf40,4633078166567403629,,,
45,5,A review on outlier detection techniques on data stream by using different approaches of K-Means algorithm,paper,English,Common,19f39cdfb273311e0cc1f57628fde9e8787b33b7,8826535957880741022,,,
46,5,A Review on Outlier/Anomaly Detection in Time Series Data,paper,English,Common,429173b6033ce240e0b5930379417f703d0e38fe,15456767634218974696,,,
47,2,A review on type-2 fuzzy neural networks for system identification,paper,English,S2,a8d3d8ec9c17949428bf158e7aef838d1512e973,,,,
48,5,A Survey : Outlier Detection in Streaming Data Using Clustering Approached,paper,English,Common,65c9115da58f58001d7ebbdb5b974424b1c21a5d,2903897425567432622,,,
49,5,A survey and classification of the security anomaly detection mechanisms in software defined networks,paper,English,S2,129ed9b614294388dfa88e23b8bb6110e462c3aa,,,,
50,6,A survey for different approaches of Outlier Detection in data mining,paper,English,S2,a4d751c46443493d8a89b8905600a0544d0da9e0,,,,
51,5,A Survey of Anomaly Detection Approaches in Internet of Things,paper,English,S2,a138c419f7475625745b57e95acf682c04bcd7ff,,,,
52,5,A Survey of Anomaly Detection for Connected Vehicle Cybersecurity and Safety,paper,English,S2,eb9920d52c6ccbf8a67733cf85c22dfa961f1053,,,,
53,5,A Survey of Anomaly Detection in Industrial Wireless Sensor Networks with Critical Water System Infrastructure as a Case Study,paper,English,Common,62f43b69f719842a9b6871b8fb3ad2f8bb38d169,17973964467895315693,,,
54,5,A survey of anomaly detection methods in networks,paper,English,GS,6b37bce47fb9682de35932e0142493936c2e3f6b,13454748010419248917,,,
55,5,A survey of anomaly detection techniques in financial domain,paper,English,Common,5b55d69c4b5f9a371f04944453283ed36ddb90ce,16176558278332997675,,,
56,5,A survey of anomaly intrusion detection techniques,paper,English,S2,c8b4c7576eda4e56249b24ac3b703e410b47848b,,,,
57,5,A survey of data mining and social network analysis based anomaly detection techniques,paper,English,Common,d885782689d2530ef79d8d4b7575147893eb36a2,9106996279436768745,,,
58,5,A survey of deep learning-based network anomaly detection,paper,English,Common,1605d856f4502c2ddd234b8c61bbbe1fc22af3ef,2009558212374234535,,,
59,5,A Survey of Distance and Similarity Measures Used Within Network Intrusion Anomaly Detection,paper,English,Common,2925a374d23127cc58027b4437a3f1dea8f02844,14360846323367457373,,,
60,5,A survey of machine learning methods applied to anomaly detection on drinking-water quality data,paper,English,Common,e0a37b2a682995a0c5f2d6927d5296d8e9c4684c,496723865740701577,,,
61,5,A survey of network anomaly detection techniques,paper,English,Common,2eb2320ff1e1a109d9c8bf0d53b3edc370d4cea6,9031285360332520732,,,
62,4,A survey of network anomaly visualization,paper,English,Common,451dc5c6d2ef3eb6788403fe0ca7685ae89209bc,7673946901528599193,,,
63,5,A survey of outlier detection algorithms for data streams,paper,English,Common,1cb7d8ede56d077eb5dcbc25bbe1d95999341060,15648331434899089611,,,
64,6,A SURVEY OF OUTLIER DETECTION IN DATA MINING,paper,English,S2,8aae6b385cd9296eddf9d10f548e01047f293839,,,,
65,5,A survey of outlier detection in high dimensional data streams,paper,English,Common,e6d97dbd38393b0c3bce95fde0545f5866be7826,14452029072770746486,,,
66,6,A Survey of Outlier Detection Methodologies,paper,English,S2,bde5b8ac38c8e6baaf86b1721a164d3c33477fd2,,,,
67,6,A Survey of Outlier Detection Methodologies and Their Applications,paper,English,Common,8daf1666b24552876330810a4602f8f3743de90b,4892500169130221652,,,
68,5,A Survey of Outlier Detection Methods in Network Anomaly Identification,paper,English,Common,b83a6c77e61a38ada308992cc579c8cd49ee16f4,1431612754104698250,,,
69,5,A Survey of Outlier Detection Techniques in IoT: Review and Classification,paper,English,Common,372bcdd6e136ae08cea955e6c9c3ed716a98326c,14692785047267228388,,,
70,4,A Survey of Physics-Based Attack Detection in Cyber-Physical Systems,paper,English,S2,cf3861590d3800c754503a29d5585cfc271724b8,,,,
71,2,"A survey of rare epigenetic variation in 23,116 human genomes identifies disease-relevant epivariations and novel CGG expansions",paper,English,S2,2de2422587d780efcd5fd1359b1d7b6588de9582,,,,
72,5,A survey of research on anomaly detection for time series,paper,English,Common,16e5150bcb2f516c4482b11bfbe579ac928d5978,14758526282479627786,,,
73,5,A Survey of Single-Scene Video Anomaly Detection,paper,English,Common,02d0ef096d3b39bb83a344393522360aaf69d694,8828711174476526635,,,
74,5,A survey of video datasets for anomaly detection in automated surveillance,paper,English,S2,638d50100fe392ae705a0e5f7d9b47ca1dad3eea,,,,
75,5,A Survey of Visualization Tools Assessed for Anomaly-Based Intrusion Detection Analysis,paper,English,S2,cab70dd06208e9bc2763caf9f7297cdc6cf70f81,,,,
76,5,A Survey on Anomaly Based Host Intrusion Detection System,paper,English,Common,6d7b1e32a3c8bb8cf4f51f4c0561146c437bc766,8263274720257032608,,,
77,5,A survey on anomaly based intrusion detection system,paper,English,Common,fcb4631cead2219da5eb74b19966146509869864,13672991244157122447,,,
